date,equity
2011-01-21,99268.55407
2011-01-24,100482.20407
2011-01-25,100641.23407
2011-01-26,100699.82407
2011-01-27,100842.11407000001
2011-01-28,100080.44407
2011-01-31,100155.77407
2011-02-01,99996.74407
2011-02-02,100021.85407
2011-02-03,99762.38407
2011-02-04,99620.09407
2011-02-07,99293.66407
2011-02-08,100482.20407
2011-02-09,99410.84407
2011-02-10,99415.02907
2011-02-11,99444.32407
2011-02-14,99302.03407
2011-02-15,99101.15407
2011-02-16,100683.08407000001
2011-02-17,99737.27407
2011-02-18,99385.73407
2011-02-22,98289.26407
2011-02-23,98255.78407
2011-02-24,98841.68407
2011-02-25,99745.64407000001
2011-02-28,99980.00407
2011-03-01,100021.85407
2011-03-02,100088.81407
2011-03-03,100373.39407000001
2011-03-04,100867.22407
2011-03-07,100858.85407
2011-03-08,100624.49407
2011-03-09,100674.71407
2011-03-10,100080.44407
2011-03-11,100130.66407
2011-03-14,99444.32407
2011-03-15,99193.22407
2011-03-16,99084.41407
2011-03-17,99076.04407
2011-03-18,99201.59407
2011-03-21,99009.08407000001
2011-03-22,98557.10407
2011-03-23,98573.84407
2011-03-24,98674.28407
2011-03-25,99025.82407
2011-03-28,99444.32407
2011-03-29,100005.11407000001
2011-03-30,99829.34407
2011-03-31,103210.82407
2011-04-01,102298.49407
2011-04-04,101603.78407
2011-04-05,102331.97407
2011-04-06,102156.20407
2011-04-07,102783.95407
2011-04-08,102156.20407
2011-04-11,101135.06407
2011-04-12,100616.12407
2011-04-13,100850.48407
2011-04-14,101026.25407
2011-04-15,101394.53407
2011-04-18,100934.18407
2011-04-19,101042.99407
2011-04-20,101536.82407
2011-04-21,102365.45407
2011-04-25,102072.50407
2011-04-26,102524.48407
2011-04-27,102650.03407
2011-04-28,103135.49407
2011-04-29,103085.27407
2011-05-02,102959.72407
2011-05-03,102474.26407
2011-05-04,102323.60407
2011-05-05,102114.35407
2011-05-06,102683.51407
2011-05-09,103344.74407
2011-05-10,103696.28407
2011-05-11,102641.66407
2011-05-12,103143.86407000001
2011-05-13,103043.42407000001
2011-05-16,102248.27407
2011-05-17,101712.59407
2011-05-18,102039.02407
2011-05-19,103587.47407
2011-05-20,103394.96407
2011-05-23,102432.41407
2011-05-24,102348.71407
2011-05-25,104240.33407000001
2011-05-26,104658.83407000001
2011-05-27,104717.42407000001
2011-05-31,105211.25407
2011-06-01,103852.80307
2011-06-02,104056.19407
2011-06-03,105202.88407
2011-06-06,104005.97407
2011-06-07,103729.76407
2011-06-08,102683.51407
2011-06-09,103102.01407
2011-06-10,103302.89407000001
2011-06-13,103779.98407
2011-06-14,103922.27407
2011-06-15,102850.91407
2011-06-16,102164.57407
2011-06-17,102164.57407
2011-06-20,101754.44407
2011-06-21,103026.68407
2011-06-22,102758.84407
2011-06-23,103177.34407
2011-06-24,103055.97907
2011-06-27,102968.09407
2011-06-28,103512.14407000001
2011-06-29,103662.80407
2011-06-30,104365.88407
2011-07-01,104273.81407
2011-07-05,104374.25407
2011-07-06,104223.59407
2011-07-07,104868.08407000001
2011-07-08,104098.04407
2011-07-11,103713.02407
2011-07-12,103562.36407000001
2011-07-13,103955.75407
2011-07-14,103093.64407000001
2011-07-15,103068.53407
2011-07-18,102775.58407000001
2011-07-19,103328.00407
2011-07-20,103997.60407
2011-07-21,104005.97407
2011-07-22,104499.80407
2011-07-25,103830.20407
2011-07-26,103420.07407
