date,action,symbol,quantity,price,commission,total
2010-06-29,BUY,TSLA,837,23.89,19.99593,20015.92593
2020-09-02,SELL,TSLA,8,447.37,3.57896,3582.53896
2020-09-03,SELL,TSLA,9,407.0,3.6630000000000003,3666.663
2020-09-04,SELL,TSLA,9,418.32,3.7648800000000002,3768.6448800000003
2022-08-29,SELL,TSLA,14,284.82,3.98748,3991.46748
2022-08-30,SELL,TSLA,14,277.7,3.8878,3891.6877999999997
