short_window,long_window,threshold,max_trades_per_week,stop_loss_pct,trailing_stop_pct,max_position_pct,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,total_trades
2,6,0.3,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
2,6,0.3,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
2,6,0.3,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
2,6,0.3,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
2,6,0.3,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
2,6,0.3,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.15,2,0.15,0.15,0.5,0.33922013156,0.019198897144553806,-0.006081501246861297,0.09519895231442839,0.5,10
2,8,0.15,2,0.15,0.2,0.5,0.0495551664799999,0.003153953681311883,-0.07553004798620254,0.4146319570793616,0.2222222222222222,9
2,8,0.15,2,0.15,0.25,0.5,0.02645690785999992,0.001701582382522382,-0.08586850810975749,0.4189048377346511,0.2222222222222222,9
2,8,0.15,2,0.2,0.15,0.5,0.33922013156,0.019198897144553806,-0.006081501246861297,0.09519895231442839,0.5,10
2,8,0.15,2,0.2,0.2,0.5,0.03259913947999972,0.0020907524038720204,-0.08152361304328043,0.4186507263331094,0.25,8
2,8,0.15,2,0.2,0.25,0.5,0.004082005159999681,0.00026526112968183746,-0.09466005860010394,0.42584408549145947,0.25,8
2,8,0.15,2,0.25,0.15,0.5,0.33922013156,0.019198897144553806,-0.006081501246861297,0.09519895231442839,0.5,10
2,8,0.15,2,0.25,0.2,0.5,0.03259913947999972,0.0020907524038720204,-0.08152361304328043,0.4186507263331094,0.25,8
2,8,0.15,2,0.25,0.25,0.5,-0.002538767440000229,-0.00016548788891945776,-0.0978913439227171,0.4287010535603237,0.25,8
2,8,0.2,2,0.15,0.15,0.5,0.06732687069999986,0.004251202134982757,-1.197622700631488,0.029460207664325673,0.5,4
2,8,0.2,2,0.15,0.2,0.5,0.011734218999999721,0.0007598201579344099,-0.37634620990168843,0.1711482804034357,0.25,4
2,8,0.2,2,0.15,0.25,0.5,0.0011539698399997723,7.509096162117146e-05,-0.38651798235089496,0.17264472142017814,0.25,4
2,8,0.2,2,0.2,0.15,0.5,0.06732687069999986,0.004251202134982757,-1.197622700631488,0.029460207664325673,0.5,4
2,8,0.2,2,0.2,0.2,0.5,0.009508446999999724,0.000616331201801712,-0.37785432015231335,0.17146092883230715,0.3333333333333333,3
2,8,0.2,2,0.2,0.25,0.5,-0.0010718021600002248,-6.981675721295932e-05,-0.38798569243543535,0.17296286613747425,0.3333333333333333,3
2,8,0.2,2,0.25,0.15,0.5,0.06732687069999986,0.004251202134982757,-1.197622700631488,0.029460207664325673,0.5,4
2,8,0.2,2,0.25,0.2,0.5,0.009508446999999724,0.000616331201801712,-0.37785432015231335,0.17146092883230715,0.3333333333333333,3
2,8,0.2,2,0.25,0.25,0.5,-0.0010718021600002248,-6.981675721295932e-05,-0.38798569243543535,0.17296286613747425,0.3333333333333333,3
2,8,0.3,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.3,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.3,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.3,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.3,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.3,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.3,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.3,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
2,8,0.3,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.15,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.25,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.25,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.2,2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.3,2,0.15,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.3,2,0.15,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.3,2,0.15,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.3,2,0.2,0.15,0.5,0.0,0.0,0.0,0.0,0.0,0
3,5,0.3,2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0
