date,equity
2025-07-07,100000.0
2025-07-08,100000.0
2025-07-09,100000.0
2025-07-10,100000.0
2025-07-11,100000.0
2025-07-14,100000.0
2025-07-15,100000.0
2025-07-16,100000.0
2025-07-17,100000.0
2025-07-18,100000.0
2025-07-21,100000.0
2025-07-22,100000.0
2025-07-23,100000.0
2025-07-24,100000.0
2025-07-25,100000.0
2025-07-28,100000.0
2025-07-29,100000.0
2025-07-30,100000.0
2025-07-31,100000.0
2025-08-01,100000.0
2025-08-04,100000.0
2025-08-05,100000.0
2025-08-06,100000.0
2025-08-07,100000.0
2025-08-08,100000.0
2025-08-11,100000.0
2025-08-12,99940.00069
2025-08-13,101067.91068999999
2025-08-14,105513.91183
2025-08-15,105450.62070999999
2025-08-18,103070.34889
2025-08-19,103008.51655999999
2025-08-20,98626.89834
2025-08-21,98626.89834
2025-08-22,98626.89834
2025-08-25,98626.89834
2025-08-26,98626.89834
2025-08-27,98626.89834
2025-08-28,98626.89834
2025-08-29,98626.89834
2025-09-02,98626.89834
2025-09-03,98626.89834
2025-09-04,98626.89834
2025-09-05,98626.89834
2025-09-08,98626.89834
2025-09-09,98626.89834
2025-09-10,98626.89834
2025-09-11,98626.89834
2025-09-12,98626.89834
2025-09-15,98626.89834
2025-09-16,98626.89834
2025-09-17,98626.89834
2025-09-18,98567.74539
2025-09-19,96594.85809
2025-09-22,96594.85809
2025-09-23,96594.85809
2025-09-24,96536.91376999998
2025-09-25,101614.94832999998
2025-09-26,101553.99482999998
2025-09-29,99743.45266999997
2025-09-30,99743.45266999997
2025-10-01,99743.45266999997
2025-10-02,99743.45266999997
2025-10-03,99743.45266999997
2025-10-06,99743.45266999997
2025-10-07,99743.45266999997
2025-10-08,99743.45266999997
2025-10-09,99743.45266999997
2025-10-10,99743.45266999997
2025-10-13,99743.45266999997
2025-10-14,99743.45266999997
2025-10-15,99743.45266999997
2025-10-16,99743.45266999997
2025-10-17,99743.45266999997
2025-10-20,99743.45266999997
2025-10-21,99743.45266999997
2025-10-22,99743.45266999997
2025-10-23,99743.45266999997
2025-10-24,99683.62102999998
2025-10-27,101653.00102999997
2025-10-28,104698.45963999997
2025-10-29,104698.45963999997
2025-10-30,104698.45963999997
2025-10-31,104698.45963999997
2025-11-03,104698.45963999997
2025-11-04,104698.45963999997
2025-11-05,104698.45963999997
2025-11-06,104698.45963999997
2025-11-07,104698.45963999997
2025-11-10,104698.45963999997
2025-11-11,104698.45963999997
2025-11-12,104698.45963999997
2025-11-13,104698.45963999997
2025-11-14,104698.45963999997
2025-11-17,104698.45963999997
2025-11-18,104698.45963999997
2025-11-19,104698.45963999997
2025-11-20,104698.45963999997
2025-11-21,104698.45963999997
2025-11-24,104698.45963999997
